,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
1731,4480,UMTS,440,10,40194,186695737,0,133.92127990723,34.651565551758,1000,1,1,1297105975,1297105975,0
53761,61575,UMTS,440,10,23809,191267034,0,133.92951965332,34.652938842773,1000,1,1,1436481340,1436481340,0
53794,61608,UMTS,440,10,23809,191283203,0,133.92265319824,34.651565551758,1000,1,1,1437256534,1437256534,0
53796,61610,UMTS,440,10,23809,191267117,0,133.923111,34.658432,1000,3,1,1458573013,1467615572,0
53949,61763,UMTS,440,10,23809,47526714,0,133.92265319824,34.658432006836,1000,1,1,1437256472,1437256472,0
53967,61781,UMTS,440,10,23809,191267012,0,133.92539978027,34.658432006836,1000,1,1,1437256534,1437256534,0
53985,61799,UMTS,440,10,23809,191283385,0,133.92402648926,34.652938842773,1000,1,1,1437563283,1437563283,0
54572,62386,UMTS,440,10,23809,191266916,0,133.91990661621,34.651565551758,1000,1,1,1424311262,1424311262,0
54575,62389,UMTS,440,10,23809,191250575,0,133.92951965332,34.659805297852,1000,1,1,1445082192,1445082192,0
54584,62398,UMTS,440,10,23809,191267035,0,133.9281463623,34.651565551758,1000,1,1,1436481340,1436481340,0
54586,62400,UMTS,440,10,23809,191267033,0,133.92677307129,34.655685424805,1000,1,1,1437256534,1437256534,0
54591,62405,UMTS,440,10,23809,191283411,0,133.92951965332,34.659805297852,1000,1,1,1445082192,1445082192,0
104725,113499,LTE,440,50,47681,101210882,0,133.918991,34.657515999999994,1000,3,1,1458589875,1487498054,0
104730,113504,LTE,440,50,47681,102916865,0,133.91166687012,34.655685424805,1000,1,1,1458206684,1458206684,0
104743,113517,LTE,440,50,47681,106619138,0,133.92402648926,34.65705871582,1000,1,1,1451677669,1451677669,0
104746,113520,LTE,440,50,47681,264775169,0,133.91304016113,34.651565551758,1000,1,1,1438857422,1438857422,0
104747,113521,LTE,440,50,47681,106330882,0,133.9185333252,34.655685424805,1000,1,1,1437437370,1437437370,0
104755,113529,LTE,440,50,47681,106756866,0,133.91304016113,34.652938842773,1000,1,1,1458120793,1458120793,0
104867,113641,LTE,440,50,47681,101637123,0,133.91304016113,34.655685424805,1000,1,1,1458206684,1458206684,0
105024,113798,LTE,440,50,47681,106757121,0,133.91166687012,34.655685424805,1000,1,1,1430373676,1430373676,0
105131,113905,LTE,440,50,47681,101637122,0,133.91578674316003,34.655685424805,1000,1,1,1458206684,1458206684,0
105133,113907,LTE,440,50,47681,102917378,0,133.912354,34.659805,1000,2,1,1458589875,1470045870,0
105136,113910,LTE,440,50,47681,102226947,0,133.926773,34.659348,1000,3,1,1458589875,1490609354,0
105142,113916,LTE,440,50,47681,101499138,0,133.925858,34.65889,1000,3,1,1458589875,1490609354,0
105155,113929,LTE,440,50,47681,106756865,0,133.91990661621,34.654312133789,1000,1,1,1437437616,1437437616,0
105306,114080,LTE,440,50,47681,264774148,0,133.91990661621,34.65705871582,1000,1,1,1458206684,1458206684,0
105307,114081,LTE,440,50,47681,264774145,0,133.9185333252,34.65705871582,1000,1,1,1458206684,1458206684,0
105318,114092,LTE,440,50,47681,264788225,0,133.926086,34.659805,1000,2,1,1458589876,1492325846,0
105452,114226,LTE,440,50,47681,102779138,0,133.92539978027,34.658432006836,1000,1,1,1448704740,1448704740,0
105531,114305,LTE,440,50,47687,102706691,0,133.92265319824,34.654312133789,1000,1,1,1437437370,1437437370,0
105565,114339,LTE,440,50,47690,103656193,0,133.92127990723,34.652938842773,1000,1,1,1437437616,1437437616,0
105579,114353,LTE,440,50,47690,107496192,0,133.92127990723,34.655685424805,1000,1,1,1437437370,1437437370,0
105749,114523,LTE,440,50,47690,102471683,0,133.92265319824,34.654312133789,1000,2,1,1458589882,1476006742,0
106263,115037,LTE,440,50,47690,106311680,0,133.92677307129,34.65705871582,1000,1,1,1445802267,1445802267,0
106460,115234,LTE,440,50,47690,264797953,0,133.92677307129,34.654312133789,1000,1,1,1449992567,1449992567,0
429241,493496,LTE,440,10,25097,119549696,0,133.9185333252,34.654312133789,1000,1,1,1430128929,1430128929,0
429250,493505,LTE,440,10,25097,119541251,0,133.91990661621,34.65705871582,1000,1,1,1429192894,1429192894,0
429438,493693,LTE,440,10,25097,119541249,0,133.91990661621,34.65705871582,1000,1,1,1429273991,1429273991,0
429442,493697,LTE,440,10,25097,119549697,0,133.91441345215,34.651565551758,1000,1,1,1432440603,1432440603,0
429506,493761,LTE,440,10,25097,119549701,0,133.91441345215,34.655685424805,1000,1,1,1432811774,1432811774,0
429507,493762,LTE,440,10,25097,119541250,0,133.91990661621,34.65705871582,1000,1,1,1429697681,1429697681,0
429511,493766,LTE,440,10,25097,119541253,0,133.91990661621,34.65705871582,1000,1,1,1429697710,1429697710,0
429515,493770,LTE,440,10,25097,119543553,0,133.91304016113,34.65705871582,1000,3,1,1458911699,1462765685,0
429529,493784,LTE,440,10,25097,119557636,0,133.92265319824,34.651565551758,1000,1,1,1445225023,1445225023,0
429543,493798,LTE,440,10,25097,119755266,0,133.92402648926,34.652938842773,1000,1,1,1447565762,1447565762,0
429571,493826,LTE,440,10,25097,119775489,0,133.912354,34.658432,1000,2,1,1458911704,1462087002,0
429612,493867,LTE,440,10,25097,119549700,0,133.91578674316003,34.651565551758,1000,1,1,1433694759,1433694759,0
429617,493872,LTE,440,10,25097,119543554,0,133.911667,34.654312,1000,6,1,1458911699,1462765685,0
429637,493892,LTE,440,10,25097,119560705,0,133.92265319824,34.65705871582,1000,1,1,1447670532,1447670532,0
429667,493922,LTE,440,10,25097,119755267,0,133.92677307129,34.655685424805,1000,1,1,1433112934,1433112934,0
429683,493938,LTE,440,10,25097,119791875,0,133.92265319824,34.651565551758,1000,1,1,1424715127,1424715127,0
429693,493948,LTE,440,10,25097,119809029,0,133.92677307129,34.655685424805,1000,1,1,1433112933,1433112933,0
429698,493953,LTE,440,10,25097,119541252,0,133.91990661621,34.65705871582,1000,1,1,1429697681,1429697681,0
429720,493975,LTE,440,10,25097,119557635,0,133.92539978027,34.651565551758,1000,1,1,1445225023,1445225023,0
429729,493984,LTE,440,10,25097,119560704,0,133.92677307129,34.65705871582,1000,1,1,1448511480,1448511480,0
429733,493988,LTE,440,10,25097,119557637,0,133.92677307129,34.655685424805,1000,1,1,1445225023,1445225023,0
429738,493993,LTE,440,10,25097,119661824,0,133.92127990723,34.651565551758,1000,1,1,1437880387,1437880387,0
429761,494016,LTE,440,10,25097,119755269,0,133.92265319824,34.651565551758,1000,1,1,1446533540,1446533540,0
429788,494043,LTE,440,10,25097,120227588,0,133.9185333252,34.659805297852,1000,4,1,1458911707,1491880218,0
429798,494053,LTE,440,10,25097,120236065,0,133.922653,34.659348,1000,3,1,1458911707,1491840309,0
429811,494066,LTE,440,10,25097,120269841,0,133.91990661621,34.655685424805,1000,5,1,1458911707,1491973007,0
429821,494076,LTE,440,10,25097,120278275,0,133.927536,34.658432,1000,9,1,1458911707,1478147381,0
429828,494083,LTE,440,10,25097,120278291,0,133.926086,34.657059000000004,1000,4,1,1458911707,1482327838,0
429840,494095,LTE,440,10,25097,119549699,0,133.9185333252,34.654312133789,1000,1,1,1432991820,1432991820,0
429844,494099,LTE,440,10,25097,119541248,0,133.91990661621,34.658432006836,1000,1,1,1429273991,1429273991,0
429896,494151,LTE,440,10,25097,119755264,0,133.9281463623,34.652938842773,1000,1,1,1446776393,1446776393,0
429925,494180,LTE,440,10,25097,119809028,0,133.92677307129,34.65705871582,1000,1,1,1433113016,1433113016,0
429928,494183,LTE,440,10,25097,119775490,0,133.91166687012,34.655685424805,1000,1,1,1457545350,1457545350,0
429954,494209,LTE,440,10,25097,120236049,0,133.923683,34.659462,1000,4,1,1458911707,1491880218,0
429962,494217,LTE,440,10,25097,120236033,0,133.925812,34.659805,1000,10,1,1458911707,1490936183,0
429988,494243,LTE,440,10,25097,124803105,0,133.915512,34.651565999999995,1000,10,1,1458911708,1486635453,0
429991,494246,LTE,440,10,25097,124803072,0,133.91713700000003,34.654689000000005,1000,31,1,1458911708,1505952114,0
