,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
6680,113499,LTE,440,50,47681,101210882,0,133.918991,34.657515999999994,1000,3,1,1458589875,1487498054,0
6681,113500,LTE,440,50,47681,102490114,0,133.926086,34.663239000000004,1000,2,1,1458589875,1461604187,0
6687,113506,LTE,440,50,47681,101184770,0,133.922997,34.66547,1000,8,1,1458589875,1492325846,0
6691,113510,LTE,440,50,47681,106304770,0,133.9185333252,34.665298461914,1000,1,1,1433048403,1433048403,0
6695,113514,LTE,440,50,47681,106332160,0,133.9102935791,34.669418334961,1000,1,1,1444011041,1444011041,0
6698,113517,LTE,440,50,47681,106619138,0,133.92402648926,34.65705871582,1000,1,1,1451677669,1451677669,0
6704,113523,LTE,440,50,47681,106760962,0,133.899307,34.661571,1000,7,1,1458589876,1462517854,0
6705,113524,LTE,440,50,47681,104114179,0,133.90342712402,34.665298461914,1000,1,1,1451095750,1451095750,0
6709,113528,LTE,440,50,47681,106760961,0,133.899307,34.665527000000004,1000,6,1,1458589876,1462517854,0
6821,113640,LTE,440,50,47681,103958017,0,133.917749,34.662552000000005,1000,7,1,1458589875,1492325846,0
6827,113646,LTE,440,50,47681,102920963,0,133.89930725098,34.665298461914,1000,1,1,1428887834,1428887834,0
6830,113649,LTE,440,50,47681,101640961,0,133.899307,34.662895,1000,4,1,1458589875,1462341324,0
6833,113652,LTE,440,50,47681,103643906,0,133.91818999999998,34.666672,1000,4,1,1458589875,1491509931,0
6835,113654,LTE,440,50,47681,264848384,0,133.9185333252,34.665298461914,1000,3,1,1458589876,1485030887,0
6837,113656,LTE,440,50,47681,264804866,0,133.91578674316003,34.663925170898,1000,1,1,1458206696,1458206696,0
6838,113657,LTE,440,50,47681,107483906,0,133.91304016113,34.670791625977,1000,1,1,1448704740,1448704740,0
6842,113661,LTE,440,50,47681,106757378,0,133.91166687012,34.661178588867,1000,1,1,1437364468,1437364468,0
6961,113780,LTE,440,50,47681,101637633,0,133.918877,34.670105,1000,8,1,1458589875,1491509931,0
6962,113781,LTE,440,50,47681,102464259,0,133.901779,34.657059000000004,1000,5,1,1458589875,1486862499,0
6963,113782,LTE,440,50,47681,102917377,0,133.916179,34.663925,1000,7,1,1458589875,1482044499,0
6964,113783,LTE,440,50,47681,102464771,0,133.9185333252,34.66667175293,1000,3,1,1458589875,1486862499,0
6965,113784,LTE,440,50,47681,103571201,0,133.920937,34.665298,1000,4,1,1458589875,1492325846,0
6967,113786,LTE,440,50,47681,101637635,0,133.91578674316003,34.668045043945,1000,1,1,1451677669,1451677669,0
6969,113788,LTE,440,50,47681,101184769,0,133.925095,34.668808,1000,9,1,1458589875,1492325846,0
6970,113789,LTE,440,50,47681,102917379,0,133.91166687012,34.663925170898,1000,1,1,1456138450,1456138450,0
6980,113799,LTE,440,50,47681,106332162,0,133.90434299999998,34.666672,1000,6,1,1458589876,1462517854,0
6981,113800,LTE,440,50,47681,104122114,0,133.90205383301,34.659805297852,1000,1,1,1437464575,1437464575,0
6982,113801,LTE,440,50,47681,106757379,0,133.90754699707,34.662551879883,1000,1,1,1445802267,1445802267,0
