,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
6697,113516,LTE,440,50,47681,106758915,0,133.904114,34.650879,1000,4,1,1458589876,1461663382,0
6701,113520,LTE,440,50,47681,264775169,0,133.91304016113,34.651565551758,1000,1,1,1438857422,1438857422,0
7522,114341,LTE,440,50,47690,101295875,0,133.906174,34.635773,1000,2,1,1458589882,1460106201,0
7523,114342,LTE,440,50,47690,106415873,0,133.90480041504,34.636459350586,1000,1,1,1456211362,1456211362,0
7525,114344,LTE,440,50,47690,106621953,0,133.9048,34.645844,1000,6,1,1458589883,1462341324,0
7526,114345,LTE,440,50,47690,102781955,0,133.90159599999998,34.649734,1000,3,1,1458589883,1464991081,0
7527,114346,LTE,440,50,47690,101191169,0,133.884201,34.639206,1000,2,1,1458589882,1480318234,0
7528,114347,LTE,440,50,47690,102575875,0,133.90480041504,34.636459350586,1000,1,1,1446007982,1446007982,0
7536,114355,LTE,440,50,47690,264767236,0,133.9185333252,34.632339477539,1000,1,1,1449992567,1449992567,0
7694,114513,LTE,440,50,47690,104132097,0,133.911667,34.644699,1000,2,1,1458589883,1487579506,0
7698,114517,LTE,440,50,47690,105380864,0,133.89381408691003,34.63508605957,1000,1,1,1429565541,1429565541,0
7699,114518,LTE,440,50,47690,102471169,0,133.88145446777,34.639205932617,1000,1,1,1451095750,1451095750,0
7702,114521,LTE,440,50,47690,106759168,0,133.90342712402,34.640579223633,1000,1,1,1456293075,1456293075,0
7703,114522,LTE,440,50,47689,106758400,0,133.90205383301,34.651565551758,1000,1,1,1455256503,1455256503,0
7710,114529,LTE,440,50,47690,264767232,0,133.92402648926,34.637832641602,1000,1,1,1449992567,1449992567,0
7711,114530,LTE,440,50,47690,264775681,0,133.90754699707,34.650192260742,1000,1,1,1455256503,1455256503,0
7718,114537,LTE,440,50,47690,264773635,0,133.90617370605,34.637832641602,1000,1,1,1450858010,1450858010,0
7858,114677,LTE,440,50,47689,101638402,0,133.89930725098,34.650192260742,1000,1,1,1451095762,1451095762,0
7861,114680,LTE,440,50,47689,102571523,0,133.883286,34.647446,1000,3,1,1458589882,1492325852,0
7863,114682,LTE,440,50,47689,102575618,0,133.88145446777,34.63508605957,1000,1,1,1451095762,1451095762,0
7870,114689,LTE,440,50,47690,106759169,0,133.90068054199,34.63508605957,1000,1,1,1442902445,1442902445,0
7871,114690,LTE,440,50,47690,102471171,0,133.88145446777,34.63508605957,1000,1,1,1451095762,1451095762,0
7873,114692,LTE,440,50,47690,106415872,0,133.90617370605,34.63508605957,1000,20,1,1458589883,1463120211,0
7880,114699,LTE,440,50,47689,106758401,0,133.90205383301,34.651565551758,1000,1,1,1455256503,1455256503,0
