,Unnamed: 0,Unnamed: 0.1,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
0,6697,113516,LTE,440,50,47681,106758915,0,133.87895,34.632282,1000,4,1,1458589876,1461663382,0
1,6701,113520,LTE,440,50,47681,264775169,0,133.88293583333333,34.632282,1000,1,1,1438857422,1438857422,0
2,7522,114341,LTE,440,50,47690,101295875,0,133.88692166666667,34.632282,1000,2,1,1458589882,1460106201,0
3,7523,114342,LTE,440,50,47690,106415873,0,133.8909075,34.632282,1000,1,1,1456211362,1456211362,0
4,7525,114344,LTE,440,50,47690,106621953,0,133.89489333333333,34.632282,1000,6,1,1458589883,1462341324,0
5,7526,114345,LTE,440,50,47690,102781955,0,133.89887916666666,34.632282,1000,3,1,1458589883,1464991081,0
6,7527,114346,LTE,440,50,47690,101191169,0,133.902865,34.632282,1000,2,1,1458589882,1480318234,0
7,7528,114347,LTE,440,50,47690,102575875,0,133.90685083333332,34.632282,1000,1,1,1446007982,1446007982,0
8,7536,114355,LTE,440,50,47690,264767236,0,133.91083666666665,34.632282,1000,1,1,1449992567,1449992567,0
9,7694,114513,LTE,440,50,47690,104132097,0,133.91482249999999,34.632282,1000,2,1,1458589883,1487579506,0
10,7698,114517,LTE,440,50,47690,105380864,0,133.91880833333332,34.632282,1000,1,1,1429565541,1429565541,0
11,7699,114518,LTE,440,50,47690,102471169,0,133.92279416666665,34.632282,1000,1,1,1451095750,1451095750,0
12,7702,114521,LTE,440,50,47690,106759168,0,133.92677999999998,34.632282,1000,1,1,1456293075,1456293075,0
13,7703,114522,LTE,440,50,47689,106758400,0,133.87895,34.633956999999995,1000,1,1,1455256503,1455256503,0
14,7710,114529,LTE,440,50,47690,264767232,0,133.88293583333333,34.633956999999995,1000,1,1,1449992567,1449992567,0
15,7711,114530,LTE,440,50,47690,264775681,0,133.88692166666667,34.633956999999995,1000,1,1,1455256503,1455256503,0
16,7718,114537,LTE,440,50,47690,264773635,0,133.8909075,34.633956999999995,1000,1,1,1450858010,1450858010,0
17,7858,114677,LTE,440,50,47689,101638402,0,133.89489333333333,34.633956999999995,1000,1,1,1451095762,1451095762,0
18,7861,114680,LTE,440,50,47689,102571523,0,133.89887916666666,34.633956999999995,1000,3,1,1458589882,1492325852,0
19,7863,114682,LTE,440,50,47689,102575618,0,133.902865,34.633956999999995,1000,1,1,1451095762,1451095762,0
20,7870,114689,LTE,440,50,47690,106759169,0,133.90685083333332,34.633956999999995,1000,1,1,1442902445,1442902445,0
21,7871,114690,LTE,440,50,47690,102471171,0,133.91083666666665,34.633956999999995,1000,1,1,1451095762,1451095762,0
22,7873,114692,LTE,440,50,47690,106415872,0,133.91482249999999,34.633956999999995,1000,20,1,1458589883,1463120211,0
23,7880,114699,LTE,440,50,47689,106758401,0,133.91880833333332,34.633956999999995,1000,1,1,1455256503,1455256503,0
24,7882,114701,LTE,440,50,47690,106758146,0,133.92279416666665,34.633956999999995,1000,2,1,1458589883,1462341324,0
25,7884,114703,LTE,440,50,47690,101295874,0,133.92677999999998,34.633956999999995,1000,4,1,1458589882,1487579506,0
26,7901,114720,LTE,440,50,47690,264777217,0,133.87895,34.635631999999994,1000,1,1,1449992567,1449992567,0
27,8050,114869,LTE,440,50,47689,101291522,0,133.88293583333333,34.635631999999994,1000,1,1,1451095762,1451095762,0
28,8066,114885,LTE,440,50,47690,106757891,0,133.88692166666667,34.635631999999994,1000,1,1,1458371737,1458371737,0
29,8070,114889,LTE,440,50,47690,106621955,0,133.8909075,34.635631999999994,1000,2,1,1458589883,1462517854,0
30,8073,114892,LTE,440,50,47690,105221377,0,133.89489333333333,34.635631999999994,1000,2,1,1458589883,1476006742,0
31,8086,114905,LTE,440,50,47690,264773634,0,133.89887916666666,34.635631999999994,1000,1,1,1451095743,1451095743,0
32,8205,115024,LTE,440,50,47689,101291521,0,133.902865,34.635631999999994,1000,1,1,1451095762,1451095762,0
33,8211,115030,LTE,440,50,47690,106415874,0,133.90685083333332,34.635631999999994,1000,5,1,1458589883,1462341324,0
