,Unnamed: 0,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
6677,113496,LTE,440,50,47681,102920962,0,133.89381408691003,34.659805297852,1000,3,1,1458589875,1486862499,0
6678,113497,LTE,440,50,47681,101210113,0,133.92951965332,34.665298461914,1000,1,1,1442992147,1442992147,0
6680,113499,LTE,440,50,47681,101210882,0,133.918991,34.657515999999994,1000,3,1,1458589875,1487498054,0
6681,113500,LTE,440,50,47681,102490114,0,133.926086,34.663239000000004,1000,2,1,1458589875,1461604187,0
6685,113504,LTE,440,50,47681,102916865,0,133.91166687012,34.655685424805,1000,1,1,1458206684,1458206684,0
6686,113505,LTE,440,50,47681,101638658,0,133.89793395996,34.672164916992,1000,2,1,1458589875,1470045870,0
6687,113506,LTE,440,50,47681,101184770,0,133.922997,34.66547,1000,8,1,1458589875,1492325846,0
6690,113509,LTE,440,50,47681,264777474,0,133.89381408691003,34.659805297852,1000,1,1,1458194907,1458194907,0
6691,113510,LTE,440,50,47681,106304770,0,133.9185333252,34.665298461914,1000,1,1,1433048403,1433048403,0
6693,113512,LTE,440,50,47681,106760963,0,133.89381408691003,34.659805297852,1000,1,1,1458278342,1458278342,0
6695,113514,LTE,440,50,47681,106332160,0,133.9102935791,34.669418334961,1000,1,1,1444011041,1444011041,0
6697,113516,LTE,440,50,47681,106758915,0,133.904114,34.650879,1000,4,1,1458589876,1461663382,0
6698,113517,LTE,440,50,47681,106619138,0,133.92402648926,34.65705871582,1000,1,1,1451677669,1451677669,0
6701,113520,LTE,440,50,47681,264775169,0,133.91304016113,34.651565551758,1000,1,1,1438857422,1438857422,0
6702,113521,LTE,440,50,47681,106330882,0,133.9185333252,34.655685424805,1000,1,1,1437437370,1437437370,0
6703,113522,LTE,440,50,47681,264782337,0,133.92539978027,34.672164916992,1000,2,1,1458589876,1470559314,0
6704,113523,LTE,440,50,47681,106760962,0,133.899307,34.661571,1000,7,1,1458589876,1462517854,0
6705,113524,LTE,440,50,47681,104114179,0,133.90342712402,34.665298461914,1000,1,1,1451095750,1451095750,0
6707,113526,LTE,440,50,47681,106304257,0,133.903198,34.654312,1000,6,1,1458589876,1462517854,0
6709,113528,LTE,440,50,47681,106760961,0,133.899307,34.665527000000004,1000,6,1,1458589876,1462517854,0
6710,113529,LTE,440,50,47681,106756866,0,133.91304016113,34.652938842773,1000,1,1,1458120793,1458120793,0
6821,113640,LTE,440,50,47681,103958017,0,133.917749,34.662552000000005,1000,7,1,1458589875,1492325846,0
6822,113641,LTE,440,50,47681,101637123,0,133.91304016113,34.655685424805,1000,1,1,1458206684,1458206684,0
6823,113642,LTE,440,50,47681,102490113,0,133.92951965332,34.665298461914,1000,1,1,1442992154,1442992154,0
6825,113644,LTE,440,50,47681,102779137,0,133.92677307129,34.661178588867,1000,2,1,1458589875,1492325846,0
6826,113645,LTE,440,50,47681,101640962,0,133.894501,34.659805,1000,2,1,1458589875,1470045870,0
6827,113646,LTE,440,50,47681,102920963,0,133.89930725098,34.665298461914,1000,1,1,1428887834,1428887834,0
6830,113649,LTE,440,50,47681,101640961,0,133.899307,34.662895,1000,4,1,1458589875,1462341324,0
6833,113652,LTE,440,50,47681,103643906,0,133.91818999999998,34.666672,1000,4,1,1458589875,1491509931,0
6835,113654,LTE,440,50,47681,264848384,0,133.9185333252,34.665298461914,1000,3,1,1458589876,1485030887,0
6837,113656,LTE,440,50,47681,264804866,0,133.91578674316003,34.663925170898,1000,1,1,1458206696,1458206696,0
6838,113657,LTE,440,50,47681,107483906,0,133.91304016113,34.670791625977,1000,1,1,1448704740,1448704740,0
6839,113658,LTE,440,50,47681,106619137,0,133.92677307129,34.661178588867,1000,1,1,1445802267,1445802267,0
6842,113661,LTE,440,50,47681,106757378,0,133.91166687012,34.661178588867,1000,1,1,1437364468,1437364468,0
6961,113780,LTE,440,50,47681,101637633,0,133.918877,34.670105,1000,8,1,1458589875,1491509931,0
6962,113781,LTE,440,50,47681,102464259,0,133.901779,34.657059000000004,1000,5,1,1458589875,1486862499,0
6963,113782,LTE,440,50,47681,102917377,0,133.916179,34.663925,1000,7,1,1458589875,1482044499,0
